 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,aero_2_0623:slice:1,22,29.818,1.182,29.818,1.182,10.331,2.711,177.551,0.405,3.810,0.262,0.733
2,aero_2_0623:slice:1,110,764.918,3.327,764.918,3.327,17.734,7.898,6.628,0.590,2.246,0.445,0.859
3,aero_2_0623:slice:1,13,910.115,11.962,910.115,11.962,4.899,3.378,129.265,1.000,1.450,0.690,0.897
4,aero_2_0623:slice:1,10,236.000,13.700,236.000,13.700,4.198,3.033,180.000,1.000,1.384,0.723,0.909
5,aero_2_0623:slice:1,7,709.500,16.214,709.500,16.214,3.086,2.888,0.000,1.000,1.069,0.936,0.875
6,aero_2_0623:slice:1,169,793.346,50.033,793.346,50.033,16.962,12.686,150.526,0.860,1.337,0.748,0.885
7,aero_2_0623:slice:1,7,970.500,63.214,970.500,63.214,3.086,2.888,0.000,1.000,1.069,0.936,0.875
8,aero_2_0623:slice:1,8,494.625,69.625,494.625,69.625,3.538,2.879,45.000,1.000,1.229,0.814,0.941
9,aero_2_0623:slice:1,409,879.803,96.292,879.803,96.292,27.427,18.987,146.144,0.801,1.445,0.692,0.906
10,aero_2_0623:slice:1,854,603.176,139.022,603.176,139.022,36.537,29.760,166.341,0.829,1.228,0.815,0.932
11,aero_2_0623:slice:1,8,648.375,129.375,648.375,129.375,3.538,2.879,45.000,1.000,1.229,0.814,0.941
12,aero_2_0623:slice:1,240,915.129,139.921,915.129,139.921,22.188,13.772,176.744,0.801,1.611,0.621,0.889
13,aero_2_0623:slice:1,315,234.932,143.532,234.932,143.532,27.465,14.603,152.951,0.774,1.881,0.532,0.875
14,aero_2_0623:slice:1,4,957.000,135.000,957.000,135.000,2.257,2.257,0.000,1.000,1.000,1.000,1.000
15,aero_2_0623:slice:1,295,110.568,158.632,110.568,158.632,20.562,18.267,148.678,0.765,1.126,0.888,0.885
16,aero_2_0623:slice:1,288,486.059,162.323,486.059,162.323,21.565,17.004,163.344,0.800,1.268,0.789,0.885
17,aero_2_0623:slice:1,64,224.953,176.906,224.953,176.906,11.370,7.167,171.308,0.825,1.586,0.630,0.853
18,aero_2_0623:slice:1,4,994.000,182.000,994.000,182.000,2.257,2.257,0.000,1.000,1.000,1.000,1.000
19,aero_2_0623:slice:1,6,1001.000,203.500,1001.000,203.500,3.385,2.257,90.000,1.000,1.500,0.667,1.000
20,aero_2_0623:slice:1,8,410.500,212.000,410.500,212.000,3.489,2.919,90.000,0.914,1.195,0.837,0.800
21,aero_2_0623:slice:1,633,20.217,225.040,20.217,225.040,38.674,20.840,151.916,0.610,1.856,0.539,0.849
22,aero_2_0623:slice:1,16,396.562,213.812,396.562,213.812,5.734,3.553,157.616,0.958,1.614,0.620,0.889
23,aero_2_0623:slice:1,403,900.656,221.592,900.656,221.592,28.947,17.726,159.057,0.689,1.633,0.612,0.875
24,aero_2_0623:slice:1,35,606.300,225.843,606.300,225.843,8.445,5.277,171.081,0.878,1.601,0.625,0.843
25,aero_2_0623:slice:1,7,608.786,231.500,608.786,231.500,3.086,2.888,90.000,1.000,1.069,0.936,0.875
26,aero_2_0623:slice:1,40,784.350,258.075,784.350,258.075,8.374,6.082,174.931,1.000,1.377,0.726,0.889
27,aero_2_0623:slice:1,675,694.381,270.125,694.381,270.125,42.745,20.106,179.204,0.608,2.126,0.470,0.863
28,aero_2_0623:slice:1,671,124.390,268.788,124.390,268.788,41.882,20.399,178.379,0.627,2.053,0.487,0.887
29,aero_2_0623:slice:1,34,911.971,272.118,911.971,272.118,7.192,6.019,108.144,0.919,1.195,0.837,0.861
30,aero_2_0623:slice:1,74,377.919,281.419,377.919,281.419,13.790,6.832,171.285,0.702,2.018,0.495,0.871
31,aero_2_0623:slice:1,327,622.901,302.506,622.901,302.506,23.438,17.764,157.517,0.807,1.319,0.758,0.907
32,aero_2_0623:slice:1,279,819.410,305.048,819.410,305.048,22.756,15.611,173.745,0.851,1.458,0.686,0.932
33,aero_2_0623:slice:1,6,531.333,344.333,531.333,344.333,3.140,2.433,135.000,1.000,1.291,0.775,0.800
34,aero_2_0623:slice:1,13,390.269,360.731,390.269,360.731,4.849,3.414,19.794,1.000,1.420,0.704,0.812
35,aero_2_0623:slice:1,56,45.375,371.161,45.375,371.161,9.394,7.590,30.970,0.967,1.238,0.808,0.911
36,aero_2_0623:slice:1,6,617.000,375.500,617.000,375.500,3.385,2.257,90.000,1.000,1.500,0.667,1.000
37,aero_2_0623:slice:1,72,529.403,401.083,529.403,401.083,12.246,7.486,6.771,0.850,1.636,0.611,0.873
